ID_Transacao,Data,Categoria,Descricao,Metodo_Pagamento,Valor
S-0001,2025-03-29 00:00:00,Vestuário,Restaurante Sabor & Arte,Dinheiro,18367.84
N-0002,2025-02-24 00:00:00,Saúde,Mercado Bom Preço,Cartão de crédito,1969.24
N-0003,2025-02-17 00:00:00,Educação,Academia Fit+,Pix,676.18
N-0004,2025-03-27 00:00:00,Outros,Oficina do Carro,Cartão de crédito,2478.49
N-0005,2025-11-15 00:00:00,Vestuário,Mercado Bom Preço,Cartão de débito,1296.47
N-0006,2025-07-30 00:00:00,Vestuário,Loja Center,Cartão de débito,1624.3
N-0007,2025-09-20 00:00:00,Moradia,Hortifruti Verde Vida,Dinheiro,1329.07
N-0008,2025-05-15 00:00:00,Alimentação,StreamingFlix,Cartão de débito,1532.51
N-0009,2025-08-05 00:00:00,Educação,Oficina do Carro,Cartão de débito,2289.77
N-0010,2025-03-19 00:00:00,Alimentação,Posto Avenida,Dinheiro,3308.42
S-0011,2026-02-10 00:00:00,Saúde,Restaurante Sabor & Arte,Pix,23171.75
N-0012,2025-11-03 00:00:00,Educação,Hortifruti Verde Vida,Dinheiro,917.97
N-0013,2025-08-11 00:00:00,Assinaturas,Farmácia Popular,Pix,2477.68
N-0014,2025-11-05 00:00:00,Moradia,Posto Avenida,Pix,2151.06
N-0015,2026-02-15 00:00:00,Educação,StreamingFlix,Dinheiro,2007.49
N-0016,2025-06-13 00:00:00,Saúde,Restaurante Sabor & Arte,Boleto,1093.22
N-0017,2025-01-04 00:00:00,Vestuário,Padaria Pão Quente,Boleto,1609.94
S-0018,2025-05-09 00:00:00,Transporte,Livraria Cultura,Cartão de débito,44664.86
N-0019,2025-12-08 00:00:00,Assinaturas,Livraria Cultura,Pix,2997.61
S-0020,2026-01-24 00:00:00,Alimentação,Restaurante Sabor & Arte,Cartão de débito,18952.56
N-0021,2025-09-20 00:00:00,Lazer,Delivery Já,Cartão de crédito,3048.74
N-0022,2026-01-07 00:00:00,Assinaturas,Restaurante Sabor & Arte,Boleto,662.57
N-0023,2025-12-20 00:00:00,Transporte,EletroTech,Boleto,376.52
N-0024,2025-04-08 00:00:00,Educação,EletroTech,Dinheiro,448.24
N-0025,2025-05-17 00:00:00,Alimentação,Farmácia Popular,Cartão de débito,976.39
N-0026,2025-07-02 00:00:00,Educação,Padaria Pão Quente,Dinheiro,2179.4
N-0027,2026-02-06 00:00:00,Alimentação,Clínica Saúde Total,Cartão de crédito,173.78
N-0028,2025-12-06 00:00:00,Outros,StreamingFlix,Cartão de débito,678.61
N-0029,2025-01-16 00:00:00,Saúde,Oficina do Carro,Pix,726.98
N-0030,2025-09-21 00:00:00,Educação,Clínica Saúde Total,Cartão de débito,617.37
N-0031,2025-11-01 00:00:00,Lazer,Hortifruti Verde Vida,Boleto,683.57
N-0032,2025-10-05 00:00:00,Alimentação,Oficina do Carro,Cartão de crédito,1565.35
N-0033,2025-08-06 00:00:00,Lazer,EletroTech,Cartão de crédito,677.93
N-0034,2025-04-27 00:00:00,Serviços,Padaria Pão Quente,Boleto,811.86
N-0035,2026-03-14 00:00:00,Assinaturas,Oficina do Carro,Cartão de crédito,2660.19
N-0036,2025-05-22 00:00:00,Lazer,Padaria Pão Quente,Cartão de débito,3771.67
N-0037,2026-03-08 00:00:00,Serviços,Clínica Saúde Total,Cartão de débito,1937.35
S-0038,2025-03-05 00:00:00,Assinaturas,Padaria Pão Quente,Cartão de débito,29912.29
N-0039,2025-01-14 00:00:00,Assinaturas,Loja Center,Cartão de débito,2201.61
N-0040,2025-12-06 00:00:00,Alimentação,Clínica Saúde Total,Boleto,1942.66
N-0041,2025-09-29 00:00:00,Outros,Clínica Saúde Total,Boleto,1327.7
N-0042,2026-01-11 00:00:00,Lazer,Livraria Cultura,Dinheiro,1476.85
N-0043,2025-03-28 00:00:00,Transporte,Farmácia Popular,Cartão de débito,2964.82
N-0044,2025-08-05 00:00:00,Serviços,StreamingFlix,Pix,3580.79
N-0045,2025-10-27 00:00:00,Moradia,StreamingFlix,Cartão de débito,3530.0
N-0046,2026-03-10 00:00:00,Educação,Restaurante Sabor & Arte,Boleto,3749.54
N-0047,2025-10-28 00:00:00,Transporte,Mercado Bom Preço,Cartão de débito,3061.39
N-0048,2026-03-04 00:00:00,Saúde,Delivery Já,Pix,1809.69
N-0049,2025-05-02 00:00:00,Moradia,Hortifruti Verde Vida,Cartão de crédito,3103.34
N-0050,2025-06-21 00:00:00,Alimentação,StreamingFlix,Cartão de crédito,3043.05
N-0051,2025-05-20 00:00:00,Alimentação,Livraria Cultura,Boleto,580.04
N-0052,2026-02-22 00:00:00,Saúde,Clínica Saúde Total,Pix,1112.33
N-0053,2026-03-08 00:00:00,Assinaturas,StreamingFlix,Pix,1273.65
N-0054,2025-12-29 00:00:00,Transporte,StreamingFlix,Dinheiro,1850.13
N-0055,2025-12-10 00:00:00,Transporte,Farmácia Popular,Dinheiro,2072.91
N-0056,2026-03-31 00:00:00,Moradia,Clínica Saúde Total,Dinheiro,1050.87
N-0057,2026-02-03 00:00:00,Educação,Academia Fit+,Dinheiro,1603.59
N-0058,2025-08-24 00:00:00,Lazer,StreamingFlix,Pix,3932.55
N-0059,2026-02-01 00:00:00,Serviços,StreamingFlix,Cartão de crédito,3922.58
N-0060,2025-03-02 00:00:00,Alimentação,Mercado Bom Preço,Boleto,108.6
S-0061,2025-02-05 00:00:00,Assinaturas,Clínica Saúde Total,Dinheiro,19289.41
N-0062,2025-07-21 00:00:00,Alimentação,Restaurante Sabor & Arte,Cartão de débito,3997.33
N-0063,2025-07-21 00:00:00,Saúde,Restaurante Sabor & Arte,Cartão de crédito,441.73
N-0064,2025-01-06 00:00:00,Moradia,Posto Avenida,Pix,3758.52
N-0065,2025-01-29 00:00:00,Serviços,StreamingFlix,Cartão de débito,1085.89
N-0066,2025-07-10 00:00:00,Lazer,Academia Fit+,Pix,3400.28
N-0067,2025-11-05 00:00:00,Moradia,Clínica Saúde Total,Cartão de débito,2735.84
N-0068,2026-02-01 00:00:00,Alimentação,Hortifruti Verde Vida,Cartão de crédito,345.67
N-0069,2025-12-15 00:00:00,Serviços,Mercado Bom Preço,Boleto,636.51
N-0070,2025-10-26 00:00:00,Outros,EletroTech,Boleto,2525.82
S-0071,2026-03-11 00:00:00,Outros,Loja Center,Dinheiro,21116.26
N-0072,2025-11-24 00:00:00,Educação,Hortifruti Verde Vida,Boleto,1315.16
N-0073,2025-05-26 00:00:00,Educação,Padaria Pão Quente,Dinheiro,2154.67
N-0074,2025-02-21 00:00:00,Transporte,Padaria Pão Quente,Cartão de crédito,3544.25
N-0075,2025-12-15 00:00:00,Assinaturas,Livraria Cultura,Pix,3989.37
N-0076,2026-03-12 00:00:00,Lazer,Delivery Já,Cartão de crédito,2709.15
S-0077,2025-03-19 00:00:00,Transporte,Farmácia Popular,Dinheiro,31270.73
N-0078,2025-11-09 00:00:00,Transporte,Loja Center,Boleto,1205.62
N-0079,2026-03-31 00:00:00,Outros,EletroTech,Cartão de crédito,3801.54
N-0080,2026-02-20 00:00:00,Alimentação,EletroTech,Boleto,826.24
N-0081,2025-04-18 00:00:00,Transporte,Livraria Cultura,Pix,1264.27
N-0082,2025-08-18 00:00:00,Saúde,Padaria Pão Quente,Dinheiro,3196.06
N-0083,2025-03-06 00:00:00,Transporte,Loja Center,Cartão de crédito,1335.82
N-0084,2025-10-14 00:00:00,Saúde,StreamingFlix,Cartão de crédito,2485.61
N-0085,2025-12-12 00:00:00,Serviços,Restaurante Sabor & Arte,Dinheiro,2298.57
N-0086,2025-11-27 00:00:00,Lazer,Restaurante Sabor & Arte,Cartão de débito,2573.37
N-0087,2025-06-20 00:00:00,Educação,Hortifruti Verde Vida,Pix,2161.9
N-0088,2025-08-22 00:00:00,Outros,Delivery Já,Cartão de débito,2076.77
N-0089,2026-02-13 00:00:00,Lazer,Academia Fit+,Cartão de débito,2995.12
N-0090,2025-02-11 00:00:00,Moradia,Livraria Cultura,Cartão de crédito,1383.16
N-0091,2025-03-15 00:00:00,Assinaturas,Restaurante Sabor & Arte,Pix,1337.77
N-0092,2025-07-03 00:00:00,Educação,Hortifruti Verde Vida,Boleto,638.63
S-0093,2026-02-01 00:00:00,Transporte,Clínica Saúde Total,Boleto,40907.68
N-0094,2025-02-24 00:00:00,Moradia,Delivery Já,Pix,3351.94
N-0095,2025-06-06 00:00:00,Moradia,Clínica Saúde Total,Pix,1256.12
N-0096,2025-10-11 00:00:00,Saúde,EletroTech,Dinheiro,3763.88
N-0097,2025-03-13 00:00:00,Lazer,Farmácia Popular,Dinheiro,1387.92
N-0098,2025-12-31 00:00:00,Assinaturas,Oficina do Carro,Cartão de débito,1485.19
N-0099,2025-03-14 00:00:00,Lazer,StreamingFlix,Pix,2534.38
N-0100,2026-03-12 00:00:00,Vestuário,Posto Avenida,Dinheiro,68.81
N-0101,2026-02-01 00:00:00,Vestuário,Loja Center,Dinheiro,1242.56
N-0102,2025-11-30 00:00:00,Vestuário,Oficina do Carro,Boleto,2048.69
S-0103,2026-03-06 00:00:00,Serviços,Academia Fit+,Pix,43737.78
N-0104,2025-06-09 00:00:00,Vestuário,Padaria Pão Quente,Cartão de débito,3831.77
N-0105,2025-01-28 00:00:00,Transporte,Oficina do Carro,Boleto,1988.19
S-0106,2026-03-28 00:00:00,Transporte,Posto Avenida,Cartão de crédito,19921.23
N-0107,2025-02-22 00:00:00,Educação,Livraria Cultura,Cartão de crédito,1915.54
N-0108,2025-02-16 00:00:00,Vestuário,Delivery Já,Boleto,970.54
N-0109,2025-03-24 00:00:00,Moradia,Delivery Já,Cartão de crédito,2219.69
N-0110,2025-05-07 00:00:00,Educação,Livraria Cultura,Pix,2376.78
S-0111,2025-09-17 00:00:00,Educação,Clínica Saúde Total,Boleto,32872.01
N-0112,2025-07-09 00:00:00,Alimentação,Posto Avenida,Cartão de crédito,601.56
N-0113,2026-02-02 00:00:00,Alimentação,Academia Fit+,Dinheiro,3727.04
N-0114,2025-05-30 00:00:00,Vestuário,Restaurante Sabor & Arte,Dinheiro,1508.53
N-0115,2025-01-28 00:00:00,Alimentação,Padaria Pão Quente,Dinheiro,224.26
N-0116,2026-02-25 00:00:00,Assinaturas,Restaurante Sabor & Arte,Cartão de débito,74.91
N-0117,2026-01-07 00:00:00,Lazer,StreamingFlix,Dinheiro,2987.74
S-0118,2026-02-10 00:00:00,Moradia,Clínica Saúde Total,Cartão de crédito,33994.82
N-0119,2026-01-13 00:00:00,Educação,Mercado Bom Preço,Pix,2457.28
N-0120,2025-05-29 00:00:00,Serviços,StreamingFlix,Cartão de débito,70.62
N-0121,2025-08-14 00:00:00,Moradia,Padaria Pão Quente,Boleto,1215.36
N-0122,2026-03-15 00:00:00,Outros,Delivery Já,Pix,3675.78
N-0123,2025-08-05 00:00:00,Alimentação,Farmácia Popular,Cartão de débito,1785.26
N-0124,2025-07-07 00:00:00,Transporte,Clínica Saúde Total,Cartão de débito,1502.08
N-0125,2025-02-08 00:00:00,Serviços,Delivery Já,Cartão de débito,358.84
N-0126,2025-01-06 00:00:00,Moradia,Posto Avenida,Boleto,3770.86
N-0127,2026-02-08 00:00:00,Assinaturas,Delivery Já,Boleto,2829.3
N-0128,2025-06-28 00:00:00,Serviços,Clínica Saúde Total,Dinheiro,3864.41
N-0129,2025-05-26 00:00:00,Moradia,Mercado Bom Preço,Boleto,2581.09
N-0130,2025-03-22 00:00:00,Moradia,EletroTech,Pix,1589.75
N-0131,2025-04-29 00:00:00,Saúde,Clínica Saúde Total,Boleto,2590.72
N-0132,2025-05-26 00:00:00,Moradia,Clínica Saúde Total,Cartão de débito,2071.49
N-0133,2025-12-06 00:00:00,Assinaturas,Posto Avenida,Dinheiro,3961.71
N-0134,2025-04-06 00:00:00,Educação,Delivery Já,Cartão de débito,1291.59
N-0135,2025-01-29 00:00:00,Transporte,Academia Fit+,Cartão de débito,963.4
S-0136,2025-08-04 00:00:00,Educação,Farmácia Popular,Cartão de débito,20117.49
N-0137,2025-04-17 00:00:00,Serviços,Hortifruti Verde Vida,Cartão de crédito,210.91
N-0138,2025-03-16 00:00:00,Lazer,Oficina do Carro,Cartão de crédito,2042.27
N-0139,2025-12-12 00:00:00,Serviços,Loja Center,Pix,1395.27
N-0140,2025-03-19 00:00:00,Educação,Oficina do Carro,Dinheiro,3467.83
N-0141,2025-04-17 00:00:00,Educação,Hortifruti Verde Vida,Pix,1891.99
N-0142,2025-03-12 00:00:00,Alimentação,StreamingFlix,Dinheiro,1479.35
N-0143,2025-11-10 00:00:00,Lazer,Padaria Pão Quente,Dinheiro,3488.7
N-0144,2025-03-05 00:00:00,Transporte,Loja Center,Cartão de débito,1616.66
N-0145,2025-09-24 00:00:00,Lazer,EletroTech,Dinheiro,1799.41
N-0146,2025-03-24 00:00:00,Saúde,StreamingFlix,Dinheiro,792.56
N-0147,2025-12-11 00:00:00,Transporte,Academia Fit+,Boleto,1140.3
N-0148,2025-05-03 00:00:00,Alimentação,Academia Fit+,Pix,3549.65
N-0149,2025-06-29 00:00:00,Outros,Mercado Bom Preço,Pix,1938.19
N-0150,2026-01-06 00:00:00,Vestuário,Restaurante Sabor & Arte,Cartão de débito,1755.52
N-0151,2025-02-13 00:00:00,Vestuário,Livraria Cultura,Dinheiro,3279.71
S-0152,2025-07-21 00:00:00,Alimentação,Restaurante Sabor & Arte,Boleto,21841.07
S-0153,2025-02-26 00:00:00,Serviços,EletroTech,Boleto,43037.89
N-0154,2025-05-30 00:00:00,Transporte,Livraria Cultura,Dinheiro,3219.19
N-0155,2025-05-29 00:00:00,Serviços,Clínica Saúde Total,Cartão de crédito,175.33
N-0156,2025-08-10 00:00:00,Moradia,Oficina do Carro,Pix,1097.93
N-0157,2025-03-10 00:00:00,Alimentação,Oficina do Carro,Cartão de crédito,2743.61
N-0158,2025-07-20 00:00:00,Alimentação,Mercado Bom Preço,Boleto,1001.95
S-0159,2025-11-07 00:00:00,Moradia,Restaurante Sabor & Arte,Cartão de débito,30828.86
N-0160,2025-10-28 00:00:00,Transporte,Livraria Cultura,Cartão de débito,1817.65
S-0161,2025-03-18 00:00:00,Lazer,Oficina do Carro,Boleto,34129.78
N-0162,2025-12-20 00:00:00,Educação,Farmácia Popular,Dinheiro,3439.95
N-0163,2025-08-18 00:00:00,Assinaturas,Livraria Cultura,Dinheiro,354.62
N-0164,2025-11-14 00:00:00,Alimentação,Farmácia Popular,Pix,3282.22
N-0165,2026-03-17 00:00:00,Serviços,Oficina do Carro,Boleto,2238.19
N-0166,2025-04-12 00:00:00,Assinaturas,EletroTech,Cartão de crédito,2346.27
N-0167,2025-09-01 00:00:00,Saúde,Mercado Bom Preço,Cartão de débito,538.09
N-0168,2025-07-23 00:00:00,Educação,Farmácia Popular,Cartão de débito,2846.12
N-0169,2026-01-18 00:00:00,Lazer,Hortifruti Verde Vida,Pix,2054.7
N-0170,2025-10-14 00:00:00,Assinaturas,Livraria Cultura,Dinheiro,31.96
S-0171,2025-09-04 00:00:00,Moradia,Restaurante Sabor & Arte,Dinheiro,37241.33
N-0172,2026-03-09 00:00:00,Assinaturas,Academia Fit+,Cartão de débito,1342.64
N-0173,2025-11-28 00:00:00,Vestuário,StreamingFlix,Cartão de crédito,3225.59
N-0174,2025-03-05 00:00:00,Outros,Clínica Saúde Total,Boleto,3129.61
N-0175,2026-01-13 00:00:00,Lazer,Padaria Pão Quente,Dinheiro,2064.55
N-0176,2026-03-14 00:00:00,Moradia,Clínica Saúde Total,Dinheiro,3125.14
N-0177,2025-07-31 00:00:00,Saúde,StreamingFlix,Boleto,1496.33
N-0178,2025-03-07 00:00:00,Vestuário,EletroTech,Cartão de crédito,2437.14
N-0179,2025-08-29 00:00:00,Lazer,StreamingFlix,Pix,25.91
N-0180,2025-07-29 00:00:00,Outros,Restaurante Sabor & Arte,Cartão de crédito,1516.75
N-0181,2025-07-22 00:00:00,Alimentação,EletroTech,Pix,898.83
N-0182,2025-01-26 00:00:00,Moradia,Padaria Pão Quente,Boleto,635.97
N-0183,2025-02-20 00:00:00,Alimentação,Livraria Cultura,Pix,173.81
N-0184,2025-11-11 00:00:00,Saúde,EletroTech,Cartão de débito,3458.98
N-0185,2026-02-11 00:00:00,Serviços,Hortifruti Verde Vida,Cartão de crédito,3343.35
S-0186,2025-04-07 00:00:00,Serviços,Padaria Pão Quente,Cartão de débito,29330.75
N-0187,2025-01-05 00:00:00,Moradia,Mercado Bom Preço,Cartão de débito,670.3
N-0188,2025-09-16 00:00:00,Moradia,Posto Avenida,Pix,1342.31
S-0189,2025-11-06 00:00:00,Saúde,Farmácia Popular,Cartão de crédito,20238.72
N-0190,2025-05-02 00:00:00,Outros,Clínica Saúde Total,Cartão de débito,1160.55
N-0191,2026-01-04 00:00:00,Educação,Academia Fit+,Pix,472.33
N-0192,2026-01-09 00:00:00,Saúde,Delivery Já,Cartão de crédito,3439.0
N-0193,2026-01-12 00:00:00,Transporte,StreamingFlix,Cartão de crédito,3066.71
N-0194,2025-05-25 00:00:00,Educação,Farmácia Popular,Dinheiro,897.22
N-0195,2025-07-17 00:00:00,Outros,Posto Avenida,Dinheiro,1721.04
N-0196,2025-02-07 00:00:00,Educação,EletroTech,Dinheiro,1197.25
N-0197,2026-01-10 00:00:00,Assinaturas,Farmácia Popular,Boleto,3795.59
N-0198,2025-11-30 00:00:00,Educação,Delivery Já,Cartão de crédito,3396.68
S-0199,2025-05-03 00:00:00,Alimentação,Padaria Pão Quente,Boleto,43512.47
N-0200,2025-08-01 00:00:00,Saúde,Academia Fit+,Boleto,1126.59
N-0201,2026-03-07 00:00:00,Transporte,Padaria Pão Quente,Cartão de débito,789.42
N-0202,2025-03-13 00:00:00,Vestuário,EletroTech,Boleto,3849.91
N-0203,2025-04-20 00:00:00,Outros,Mercado Bom Preço,Boleto,363.0
N-0204,2025-06-18 00:00:00,Outros,Academia Fit+,Boleto,3489.96
N-0205,2025-03-22 00:00:00,Serviços,Livraria Cultura,Pix,807.92
N-0206,2026-03-29 00:00:00,Educação,Clínica Saúde Total,Dinheiro,2838.5
N-0207,2026-03-04 00:00:00,Vestuário,Padaria Pão Quente,Pix,1053.3
N-0208,2025-06-21 00:00:00,Educação,EletroTech,Dinheiro,2707.9
N-0209,2025-08-19 00:00:00,Educação,Mercado Bom Preço,Pix,464.65
N-0210,2026-01-07 00:00:00,Lazer,Oficina do Carro,Pix,1909.85
N-0211,2026-02-14 00:00:00,Saúde,Oficina do Carro,Cartão de débito,2543.72
N-0212,2026-02-23 00:00:00,Outros,EletroTech,Pix,401.19
S-0213,2026-01-29 00:00:00,Serviços,Clínica Saúde Total,Cartão de débito,23160.37
N-0214,2025-12-26 00:00:00,Lazer,Mercado Bom Preço,Boleto,2945.8
N-0215,2026-02-22 00:00:00,Alimentação,Hortifruti Verde Vida,Cartão de crédito,3560.63
N-0216,2026-02-12 00:00:00,Educação,EletroTech,Pix,2308.95
N-0217,2025-09-15 00:00:00,Lazer,Loja Center,Cartão de crédito,1587.78
N-0218,2025-12-03 00:00:00,Serviços,Mercado Bom Preço,Cartão de crédito,564.71
N-0219,2025-03-05 00:00:00,Alimentação,Restaurante Sabor & Arte,Boleto,1751.82
N-0220,2025-06-01 00:00:00,Assinaturas,Livraria Cultura,Pix,3206.81
N-0221,2025-03-29 00:00:00,Outros,Restaurante Sabor & Arte,Pix,3170.84
N-0222,2025-07-31 00:00:00,Educação,Loja Center,Dinheiro,431.26
N-0223,2025-06-28 00:00:00,Assinaturas,StreamingFlix,Cartão de débito,1076.21
S-0224,2026-02-15 00:00:00,Serviços,Padaria Pão Quente,Pix,40806.83
N-0225,2025-08-04 00:00:00,Outros,Delivery Já,Pix,2211.68
N-0226,2025-04-19 00:00:00,Transporte,StreamingFlix,Cartão de débito,3438.7
N-0227,2025-04-16 00:00:00,Transporte,Padaria Pão Quente,Cartão de débito,143.36
N-0228,2025-09-16 00:00:00,Lazer,Livraria Cultura,Pix,1472.22
N-0229,2025-06-19 00:00:00,Assinaturas,StreamingFlix,Cartão de crédito,2289.41
N-0230,2025-07-19 00:00:00,Alimentação,Oficina do Carro,Pix,3325.24
N-0231,2025-04-06 00:00:00,Assinaturas,Oficina do Carro,Cartão de débito,3083.98
N-0232,2026-03-25 00:00:00,Transporte,Hortifruti Verde Vida,Dinheiro,2038.64
N-0233,2025-11-17 00:00:00,Alimentação,Padaria Pão Quente,Cartão de crédito,3694.27
N-0234,2025-05-23 00:00:00,Saúde,Livraria Cultura,Pix,869.23
N-0235,2025-08-22 00:00:00,Saúde,EletroTech,Cartão de crédito,2043.97
N-0236,2025-03-29 00:00:00,Outros,StreamingFlix,Boleto,1168.51
N-0237,2025-10-10 00:00:00,Transporte,Loja Center,Cartão de débito,1319.6
N-0238,2026-03-18 00:00:00,Lazer,Livraria Cultura,Cartão de débito,3348.05
S-0239,2025-10-02 00:00:00,Outros,Livraria Cultura,Boleto,30306.72
N-0240,2026-02-07 00:00:00,Transporte,Clínica Saúde Total,Pix,3075.8
N-0241,2025-10-16 00:00:00,Assinaturas,Oficina do Carro,Pix,1637.43
N-0242,2025-02-04 00:00:00,Alimentação,StreamingFlix,Pix,2208.47
N-0243,2025-04-02 00:00:00,Serviços,Farmácia Popular,Cartão de débito,1450.03
N-0244,2025-04-04 00:00:00,Alimentação,Livraria Cultura,Pix,3995.4
N-0245,2026-01-20 00:00:00,Serviços,Livraria Cultura,Cartão de débito,2082.55
N-0246,2025-07-23 00:00:00,Saúde,Clínica Saúde Total,Boleto,2150.89
N-0247,2025-03-28 00:00:00,Educação,Restaurante Sabor & Arte,Boleto,1585.34
N-0248,2026-01-13 00:00:00,Transporte,Academia Fit+,Cartão de crédito,3914.14
S-0249,2025-10-04 00:00:00,Outros,Loja Center,Dinheiro,29131.58
